SCHEMES,FUND NAME, A U M,LAUNCH DATE,1 DAY,7 DAY,15 DAY,30 DAY,3 MONTH,6 MONTH,1 YEAR,2 YEAR,3 YEAR,5 YEAR,7 YEAR,10 YEAR,15 YEAR,20 YEAR,25 YEAR,SINCE INCEPTION RETURN,FUND RAT,CATEGORY,CURRENT NAV,ALPHA,BETA,MEAN,STANDARD DEV,SHARPE RATIO,SORTI I NO,FUND MANAGER,AVG MAT,MODIFIED DURATION,YTM,PURCHASE MIN AMOUNT,SIP MIN AMOUNT,LARGE CAP,MID CAP,SMALL CAP,PB RATIO,PE RATIO,EXIT LOAD, EQUITY(%), DEBT(%), GOLD(%), GLOBAL EQUITY(%), OTHER(%),RS QUARD,EXPENSE RATIO,SOV,A,AA,AAA,BIG,CASH,DOWNSIDE DEVIATION,DOWNSIDE PROBABILITY
SBI Overnight Fund Reg (G),SBI Mutual Fund,25409,01-10-2002,0.01,0.1,0.21,0.43,1.34,2.69,5.89,6.24,6.32,5.25,5.08,5.43,6.52,6.59,,6.57,3,Debt: Overnight,4241.8952,0.1,0.12,6.16,0.13,-0.82,-1.13,Ranjana Gupta,,,5.51,1000,2000,0,0,0,0,0,0,0,100,0,0,0,,0.15,3.73,,,1.47,,94.8,,
SBI PSU Fund Reg (G),SBI Mutual Fund,5714,07-07-2010,0.55,1.71,1.57,4.43,9.67,8.33,11.39,29.22,29.19,31.42,19.53,14.65,8.07,,,8.25,0,Equity: Thematic,34.1998,-1.17,0.94,29.03,21.76,1.05,1.99,Rohit Shimpi,,,,1000,500,70.29,21.86,6.4,1.9,12.38,0.5% for redemption within 30 days,98.55,1.45,0,0,0,,1.85,0.09,,,,,1.36,15.6444,45.7995
SBI Quant Fund Reg (G),SBI Mutual Fund,3705,26-12-2024,0.97,1.1,1.58,2.71,7.04,3.9,,,,,,,,,,0.06,0,Equity: Thematic,10.0054,,,,,,,Sukanya Ghosh,,,,1000,500,61.58,35.74,0,4.12,22.31,0.5% for redemption within 30 days,97.32,2.68,0,0,0,,1.92,,,,,,2.68,,
SBI Retirement Benefit Fund Aggressive Hybrid Reg (G),SBI Mutual Fund,1679,10-02-2021,0.44,1.2,0.42,0.62,4.88,5,6.29,12.51,12.91,,,,,,,14.93,3,Solution: Retirement Equity,19.4218,-0.41,0.83,12.65,9.54,0.67,0.95,Rohit Shimpi,,,,1000,500,46.89,15.79,15.86,4.05,29.17,0,78.54,10.33,2.64,0,8.49,,2.07,8.68,,,0.31,,1.34,,
SBI Retirement Benefit Fund Aggressive Reg (G),SBI Mutual Fund,3124,10-02-2021,0.53,1.48,0.25,0.79,4.51,3.65,4.64,12.6,13.23,,,,,,,16.27,3,Solution: Retirement Equity,20.5206,-1.25,0.85,13.29,11.73,0.6,0.87,Rohit Shimpi,,,,1000,500,58.97,18.67,19.21,4.04,29.18,0,96.85,3.15,0,0,0,,1.92,0.83,,,0.17,,2.15,,
SBI Retirement Benefit Fund Conservative Hybrid Reg (G),SBI Mutual Fund,288,10-02-2021,0.2,0.47,0.04,0.02,1.86,0.98,5.02,9.1,9.61,,,,,,,9.91,2,Solution: Retirement Debt,15.6942,-1.19,1.34,9.46,5.28,0.6,0.83,Rohit Shimpi,,,,1000,500,11.86,3.94,3.83,4,28.8,0,19.63,80.37,0,0,0,,1.67,37.29,,11.1,16.15,,15.83,,
SBI Retirement Benefit Fund Conservative Reg (G),SBI Mutual Fund,175,10-02-2021,0.08,0.1,-0.08,-0.36,1.03,0.24,5.26,8.04,8.39,,,,,,,7.89,3,Solution: Retirement Debt,14.3669,-0.77,0.86,8.3,3.43,0.59,0.88,Rohit Shimpi,,,,1000,500,11.86,3.94,3.83,4,28.8,0,19.63,80.37,0,0,0,,1.38,37.29,,11.1,16.15,,15.83,,
SBI S&P BSE Sensex Index Fund Reg (G),SBI Mutual Fund,346,26-05-2023,0.46,1.66,1.22,1.28,5.4,3.88,10.17,14.34,,,,,,,,14,0,Equity: Index,13.856,,,,,,,Raviprakash Sharma,,,,1000,500,99.42,0,0.52,3.77,24.26,0.2% for redemption within 15 days,99.94,0.06,0,0,0,,0.37,,,,,,0.06,,
SBI Savings Fund Reg (G),SBI Mutual Fund,37974,14-07-2004,0.04,0.12,0.27,0.48,1.46,3.14,7.25,7.21,7.11,5.7,6.07,6.39,7.31,7.13,,7.01,2,Debt: Money Market,42.4553,2.07,0.83,6.91,0.31,2.06,4.95,Rajeev Radhakrishnan,0.5,0.5,6.29,500,500,0,0,0,0,0,0,0,100,0,0,0,,0.64,13.34,,,85.9,,0.76,0.3802,6.4738
SBI Short Term Debt Fund Reg (G),SBI Mutual Fund,17442,27-07-2007,0.03,0.08,0.3,0.46,1.67,2.92,8.35,7.98,7.52,5.75,6.95,6.94,7.62,,,6.72,4,Debt: Short Duration,32.9782,5.53,2.57,7.38,0.95,1.17,2.02,Mansi Sajeja,3.56,2.96,7.09,1000,500,0,0,0,0,0,0,0,100,0,0,0,,0.82,17.22,,12.96,65.66,,4.16,1.189,27.5482
SBI SIF Magnum Hybrid Long Short Fund Reg (G),SBI SIF Mutual Fund,,,0.19,0.67,0.64,0.63,0,,,,,,,,,,,4.98,,SIF: Hybrid LS,10.0628,,,,,,,,,,,0,0,,,,,,,100,0,0,0,0,,,,,,,,,,
SBI Silver E T F FoF Reg (G),SBI Mutual Fund,1193,11-07-2024,-2.86,2.48,4.28,-6.76,34.69,61.85,74.46,,,,,,,,,44.77,0,Others: FoFs Domestic,16.4993,,,,,,,Harsh Sethi,,,,1000,500,0,0,0,0,0,1% for redemption within 15 days,0,-0.34,0,0,100.34,,0.64,,,,,-0.34,,,
SBI Small Cap Fund Reg (G),SBI Mutual Fund,36945,09-09-2009,0.43,0.84,-0.99,0.34,2.11,3.43,0.18,12.56,14.51,22.14,19.57,18.25,19.13,,,19.22,2,Equity: Small Cap,172.4795,-2.67,0.73,15.04,14.12,0.62,0.87,Rama Iyer Srinivasan,,,,1000,500,0,5.99,77.95,4.16,31.5,1% for redemption within 365 days,83.94,16.06,0,0,0,,1.56,2.57,,,,,13.49,13.7061,39.8374
SBI Technology Opportunities Fund Reg (G),SBI Mutual Fund,4934,05-07-1999,0.41,1.9,1.13,3.54,5.72,6.71,4.91,18.19,16.09,20.51,20.56,17.24,,,,19.34,0,Equity: Sectoral,225.0257,7.65,0.74,16.95,14.9,0.72,1.4,Vivek Gedda,,,,1000,500,60.36,16.42,20.41,5.96,30.48,0.5% for redemption within 15 days,85.38,2.81,0,11.81,0,,1.9,0.06,,,,,2.75,12.9803,50.1355
SBI US Specific Equity Active FoF Reg (G),SBI Mutual Fund,1091,22-03-2021,-1.14,-2.66,-3.29,1.23,4.75,18.7,19.04,26.61,23.05,,,,,,,15.96,0,Equity: Global,20.1074,,,23.89,14.75,1.2,1.85,Rohit Shimpi,,,,1000,500,97.15,0,0,0,0,1% for redemption within 365 days,0,2.85,0,97.15,0,,1.64,,,,,,2.85,,
Shriram Aggressive Hybrid Fund Reg (G),Shriram Mutual Fund,48,29-11-2013,0.34,1.19,0.96,1.53,4.33,4.65,5.59,11.5,11.3,11.6,10.59,9.8,,,,10.36,1,Hybrid: Aggressive,32.4776,-2.39,0.88,11.03,10.3,0.46,0.61,Amit Modani,2.76,2.39,6.41,0,500,56.01,6.73,7.47,3.06,19.58,"For units in excess of 12% of the investment, 1% will be charged for redemption within 90 days",70.21,29.79,0,0,0,,2.4,8.19,,,16.07,,4.84,12.1243,45.7259
Shriram Balanced Advantage Fund (G,Shriram Mutual Fund,56,05-07-2019,0.29,1.2,0.97,1.43,3.78,2.46,3.53,8.3,8.56,8.68,,,,,,8.84,1,Hybrid: Balanced Advantage,17.2446,-3.67,0.86,8.39,9.47,0.22,0.27,Amit Modani,2.44,2.17,6.41,0,500,56.53,5.44,3.73,3.2,19.57,"For units in excess of 12% of the investment, 1% will be charged for redemption within 90 days",65.7,34.3,0,0,0,,2.42,6.05,,,19.71,,6.86,,
Shriram ELSS Tax Saver Fund (G),Shriram Mutual Fund,48,25-01-2019,0.56,1.89,1.5,2.2,4.78,5.55,-0.2,9.91,10.84,12.3,,,,,,11.88,1,Equity: ELSS,21.7514,-5.09,1.02,11.08,15.1,0.32,0.4,Deepak Ramaraju,,,,0,500,66.06,16.81,15.34,3.25,20.4,0,98.21,1.79,0,0,0,,2.33,,,,,,1.79,,
Shriram Flexi Cap Fund Reg (G),Shriram Mutual Fund,133,28-09-2018,0.57,1.92,1.52,2.22,4.75,5.85,-0.69,9.51,11.1,12.87,10.98,,,,,10.71,1,Equity: Flexi Cap,20.807,-4.91,1.01,11.17,15.12,0.32,0.41,Deepak Ramaraju,,,,0,500,66.97,17.12,15.4,3.26,20.41,"For units in excess of 12% of the investment, 1% will be charged for redemption within 90 days",99.49,0.51,0,0,0,,2.39,,,,,,0.51,,
Shriram Liquid Fund Reg (G),Shriram Mutual Fund,242,14-11-2024,,,,,,,,,,,,,,,,,0,Debt: Liquid,1064.0208,,,,,,,Amit Modani,0.07,0.07,5.7,1000,1000,0,0,0,0,0,Exit load of 0.0070% if redeemed within 1 day 0.0065% if redeemed within 2 days 0.0060% if redeemed within 3 days 0.0055% if redeemed within 4 days 0.0050% if redeemed within 5 days 0.0045% if redeemed within 6 days.,0,100,0,0,0,,0.26,21.32,,,57.32,,21.36,,
Shriram Multi Asset Allocation Fund Reg (G),Shriram Mutual Fund,134,08-09-2023,0.03,1.07,1.21,0.14,7.98,7.98,9.16,11.51,,,,,,,,11.92,0,Hybrid: Multi-Asset,12.8863,,,,,,,Amit Modani,1.77,1.68,6.53,500,500,58.3,3.7,4.9,3.25,20.25,"For units in excess of 12% of the investment, 1% will be charged for redemption within 90 days",66.89,17.5,11.58,0,4.03,,2.37,1.34,,,8.47,3.69,3.69,,
Shriram Multi Sector Rotation Fund Reg (G),Shriram Mutual Fund,190,09-12-2024,0.56,1.47,2.02,3.99,7.4,3.73,,,,,,,,,,-18.63,0,Equity: Thematic,8.1413,,,,,,,Deepak Ramaraju,,,,500,500,40.48,24.69,32.88,3.07,17.59,1% for redemption within 3 months,98.05,1.95,0,0,0,,2.38,,,,,,1.95,,
Shriram Overnight Fund Reg (G),Shriram Mutual Fund,171,26-08-2022,0.01,0.1,0.21,0.43,1.33,2.68,5.79,6.18,6.28,,,,,,,6.28,1,Debt: Overnight,12.1724,0.03,0.1,6.12,0.13,-1.1,-1.63,Amit Modani,,,5.63,500,500,0,0,0,0,0,0,0,100,0,0,0,,0.16,2.92,,,,,97.08,,
Sundaram Aggressive Hybrid Fund Reg (G),Sundaram Mutual Fund,7333,14-01-2000,0.45,1.2,0.91,0.96,4.12,3.54,7.71,14.45,12.6,14.71,12.16,12.69,11.36,12.11,12.98,11.48,3,Hybrid: Aggressive,166.2089,-0.86,0.86,12.44,9.67,0.64,0.97,Bharath S.,6.24,4.25,6.82,0,0,54.43,9.18,3.39,3.59,23.94,"For units in excess of 25% of the investment, 1% will be charged for redemption within 365 days",67,31.02,0,0,1.98,,1.78,7.87,,1.59,9.26,1.75,10.55,,
Sundaram Arbitrage Fund Reg (G),Sundaram Mutual Fund,331,21-04-2016,0.02,0.19,0.37,0.43,1.3,2.81,6.13,6.67,6.74,5.09,4.51,,,,,4.13,2,Hybrid: Arbitrage,14.7352,0.61,0.24,6.47,0.39,0.52,0.82,Ashish Aggarwal,0.44,0.42,5.56,0,0,0,0,0,2.75,20.13,"For units in excess of 25% of the investment, 1% will be charged for redemption within 15 days",0,100,0,0,0,,1,9.09,,,,10.66,3.49,,
Sundaram Balanced Advantage Fund Reg (G),Sundaram Mutual Fund,1728,16-12-2010,0.38,0.96,0.75,0.8,3.67,3.38,7.29,12.16,10.77,10.19,8.55,8.11,,,,8.96,3,Hybrid: Balanced Advantage,36.1713,-0.77,0.75,10.59,7.36,0.59,0.91,Bharath S.,6.67,4.33,6.63,0,0,47.55,8.27,2.36,3.39,22,"For units in excess of 25% of the investment, 1% will be charged for redemption within 365 days",58.18,38.59,0,0,3.23,,2.05,20.87,,,11.81,0.87,5.02,,
Sundaram Banking & PSU Fund Reg (G),Sundaram Mutual Fund,404,29-12-2004,0.02,0.03,0.24,0.35,1.62,2.69,8.11,8.02,7.57,5.66,6.72,6.65,7.44,7.44,,7.36,4,Debt: Banking and PSU,44.1363,6.04,2.86,7.4,1.08,1.06,1.89,Dwijendra Srivastava,4.61,3.49,6.77,0,250,0,0,0,0,0,0,0,100,0,0,0,,0.41,17.09,,,78.98,,3.93,0.9753,25.2762
Sundaram Business Cycle Fund Reg (G),Sundaram Mutual Fund,1845,25-06-2024,0.86,1.65,-0.61,-0.63,2.44,3.5,7.26,,,,,,,,,7.46,0,Equity: Thematic,11.0577,,,,,,,Ratish Varier,,,,100,100,41.67,13.45,36.92,4.77,35.53,1% for redemption within 365 days,92.04,7.96,0,0,0,,2.01,,,,,,7.96,,
Sundaram Conservative Hybrid Fund Reg (G),Sundaram Mutual Fund,21,08-03-2010,0.08,0.27,0.44,0.28,1.52,0.01,4.55,7.28,7.07,7.89,6.74,6.74,7.11,,,7.15,2,Hybrid: Conservative,29.8062,-2.24,0.91,7.01,3.59,0.21,0.38,Ashish Aggarwal,11.06,6.58,6.56,0,250,19.09,2.34,0,3.42,22.55,0,21.43,78.57,0,0,0,,1.85,29.35,,,,,49.22,6.6487,45.5801
Sundaram Consumption Fund Reg (G),Sundaram Mutual Fund,1643,12-05-2006,0.47,1.06,-0.16,-1.06,4.07,3.86,6.79,14.36,16.89,18.27,14.31,14.59,12.55,,,12.62,3,Equity: Thematic,100.8205,-0.29,0.78,15.94,13.49,0.72,0.93,Ratish Varier,,,,0,100,75.26,7.25,14.3,7.42,36.74,0.5% for redemption within 30 days,96.81,3.19,0,0,0,,2.17,,,,,,3.19,12.478,41.0569
Sundaram Corporate Bond Fund Reg (G),Sundaram Mutual Fund,771,29-12-2004,0.02,0.03,0.25,0.34,1.61,2.7,8.15,8.03,7.43,5.86,7.53,7.25,7.36,7.11,,7.01,3,Debt: Corporate Bond,41.1746,0.59,0.54,7.23,1.09,0.89,1.45,Dwijendra Srivastava,4.98,3.7,6.87,0,250,0,0,0,0,0,0,0,100,0,0,0,,0.55,20.31,,,76.12,,3.57,1.6766,32.7348
SUNDARAM DIVIDEND YIELD FUND REG (G),Sundaram Mutual Fund,920,15-10-2004,0.52,1.06,0.54,1.22,5.52,3.67,4.4,15.21,16.33,18.36,15.32,15.1,11.88,12.18,,13.31,0,Equity: Dividend Yield,139.5408,0.75,0.94,16.15,12.83,0.77,1.1,Ashish Aggarwal,,,,0,0,71.1,11.94,7.26,2.78,17.92,"For units in excess of 24% of the investment, 1% will be charged for redemption within 365 days",90.3,4.91,0,0,4.79,,2.28,,,,,,4.91,,
Sundaram ELSS Tax Saver Fund Reg (G),Sundaram Mutual Fund,1398,31-03-1996,0.42,1.75,1.06,1.32,3.51,5.81,10.5,16.03,15.16,18.35,14.83,14.34,13.1,12.5,15.47,15.14,3,Equity: ELSS,527.7923,0.04,0.84,14.44,11.42,0.72,1.16,Bharath S.,,,,0,0,72.07,10.38,12.24,3.31,22.4,0,94.69,5.31,0,0,0,,2.21,,,,,,5.31,,
Sundaram Equity Savings Fund Reg (G),Sundaram Mutual Fund,1171,23-05-2002,0.25,0.77,0.7,0.68,2.66,3.71,8.23,11.42,11.4,12.19,,,,,,10.93,3,Hybrid: Equity Savings,72.1958,1.39,0.64,10.59,5.11,0.85,1.48,Clyton Richard Fernandes,3.35,2.55,6.27,0,0,34.53,2.9,1.07,3.1,20.97,0.5% for redemption within 7 days,38.5,61.5,0,0,0,,2.14,28.73,,,26.94,,5.73,,
Sundaram Financial Services Opp Reg (G),Sundaram Mutual Fund,1601,16-06-2008,1.09,1.88,2.92,4.81,9.2,5.49,16.6,16.6,18.33,18.71,16.72,15.05,10.84,,,14.69,4,Equity: Sectoral,109.1977,5.88,0.92,17.62,13.03,0.87,1.65,Rohit Seksaria,,,,0,100,66.51,7.65,21.5,1.77,13.52,0,95.66,4.34,0,0,0,,2.09,,,,,0.95,3.39,14.1148,47.832
Sundaram Flexi Cap Fund Reg (G),Sundaram Mutual Fund,2130,06-09-2022,0.42,1.72,1.02,1.25,3.53,5.88,9.87,15.33,14.81,,,,,,,14.16,3,Equity: Flexi Cap,15.2785,-0.22,0.85,14.27,11.57,0.69,1.15,Bharath S.,,,,100,100,72.17,10.1,12.17,3.35,22.37,"For units in excess of 25% of the investment, 1% will be charged for redemption within 365 days",94.44,5.56,0,0,0,,2.01,,,,,,5.56,,
Sundaram Focused Fund Reg (G),Sundaram Mutual Fund,1097,11-11-2005,0.57,1.52,1.01,0.25,3.12,4.14,3.6,13.58,13.24,16.72,15.29,13.78,11.81,14.74,,14.97,3,Equity: Focused,163.2767,-1.22,0.82,12.95,11.34,0.59,0.93,Ashwin Jain,,,,0,0,69.64,5.03,20.23,4.19,27.36,0.25% for redemption within 7 days,94.9,5.1,0,0,0,,2.26,,,,,,5.1,,
Sundaram Global Brand Theme-Equity Active FOF Reg (G),Sundaram Mutual Fund,145,29-03-2004,0,-0.15,-0.78,2.44,7.57,16.68,24.79,18.8,20.81,12.75,13.37,11.73,8.54,,,7.71,0,Equity: Global,38.7859,,,21.1,12.55,1.18,1.7,Pathanjali Srinivasan,,,,0,100,97.4,0,0,0,0,"For units in excess of 25% of the investment, 1% will be charged for redemption within 365 days",0,2.6,0,97.4,0,,2.38,,,,,,2.6,10.8627,47.3907
Sundaram Infrastucture Advantage Fund Reg (G),Sundaram Mutual Fund,968,29-09-2005,0.42,1.93,0.72,2.71,5.04,6.94,8.87,21.31,22.2,26.17,18.63,14.88,9.18,12,,12.03,2,Equity: Sectoral,98.5329,2.35,0.55,21.31,15.61,0.96,1.34,Ashish Aggarwal,,,,0,100,58.65,15.71,21.16,3.76,26.61,0.5% for redemption within 30 days,95.52,4.48,0,0,0,,2.39,,,,,,4.48,13.9693,43.0894
Sundaram Large and Mid Cap Fund (G),Sundaram Mutual Fund,6998,27-02-2007,0.53,1.12,0.66,1.24,5.6,6.55,7.8,17.3,16.63,19.38,15.38,14.84,12.47,,,12.36,2,Equity: Large & Mid Cap,88.6066,0.59,1,16.09,13.49,0.73,1.01,Ashish Aggarwal,,,,0,100,49.17,38.17,11.12,3.8,26.99,"For units in excess of 25% of the investment, 1% will be charged for redemption within 365 days",98.46,1.54,0,0,0,,1.81,,,,,,1.54,11.0072,42.9539
Sundaram Large Cap Fund Reg (G),Sundaram Mutual Fund,3358,30-07-2002,0.48,1.76,1.46,1.13,3.79,3.16,6.6,12.74,11.83,15.12,,,,,,16.4,2,Equity: Large Cap,21.7361,-2.23,0.9,11.76,11.21,0.49,0.83,Ashwin Jain,,,,100,100,83.79,11.04,2.2,3.47,22.88,"For units in excess of 25% of the investment, 1% will be charged for redemption within 365 days",97.03,2.97,0,0,0,,1.91,,,,,,2.97,,
Sundaram Liquid Fund Reg (G),Sundaram Mutual Fund,7498,30-08-2004,0.01,0.11,0.24,0.46,1.41,2.92,6.55,6.93,6.93,5.65,5.52,5.11,3.13,4.04,,4.11,3,Debt: Liquid,2352.8072,1.06,0.34,6.73,0.18,2.64,3.62,Dwijendra Srivastava,0.16,0.16,5.94,0,0,0,0,0,0,0,Exit load of 0.0070% if redeemed within 1 day 0.0065% if redeemed within 2 days 0.0060% if redeemed within 3 days 0.0055% if redeemed within 4 days 0.0050% if redeemed within 5 days 0.0045% if redeemed within 6 days.,0,100,0,0,0,,0.32,13.37,,1.33,74.26,,11.04,,
Sundaram Low Duration Fund Reg (G),Sundaram Mutual Fund,397,14-09-2004,0.05,0.1,0.27,0.45,1.46,2.99,7.09,7.14,6.94,5.58,3.1,4.35,5.86,6.17,,6.13,3,Debt: Low Duration,3541.5626,2.22,1.01,6.75,0.39,1.24,2.54,Dwijendra Srivastava,1.13,1.01,6.68,0,0,0,0,0,0,0,0,0,100,0,0,0,,1.15,8.25,,19.73,67.88,,4.14,,
Sundaram Medium Duration Fund Reg (G),Sundaram Mutual Fund,37,18-12-1997,0.05,0.01,0.29,0.3,1.1,1.49,6.32,6.3,5.83,3.95,5.02,5.46,6.27,6.01,6.61,6.85,1,Debt: Medium Duration,70.128,-0.93,0.77,5.86,1.43,-0.28,-0.48,Dwijendra Srivastava,4.94,3.85,6.68,0,250,0,0,0,0,0,0,0,100,0,0,0,,1.83,52.81,,15,16.31,,15.88,2.1502,34.8066
Sundaram Mid Cap Fund Reg (G),Sundaram Mutual Fund,13236,30-07-2002,0.71,0.82,0.66,2.29,5.76,8.56,10.61,23.17,24.73,25.5,18.27,15.61,15.41,18.2,,23.75,4,Equity: Mid Cap,1446.6259,1.67,0.93,22.99,15.06,1.11,1.42,Bharath S.,,,,0,100,11.07,68.29,14.2,4.21,30.88,"For units in excess of 25% of the investment, 1% will be charged for redemption within 365 days",93.56,6.44,0,0,0,,1.74,,,,,0.42,6.02,14.0716,42.8184
Sundaram Money Market Fund (G),Sundaram Mutual Fund,1988,26-09-2018,0.05,0.12,0.29,0.5,1.53,3.3,7.55,7.48,7.31,5.9,6.16,,,,,6.17,3,Debt: Money Market,15.3746,2.38,0.91,7.09,0.33,2.53,5.25,Dwijendra Srivastava,0.47,0.47,6.29,0,0,0,0,0,0,0,0,0,100,0,0,0,,0.29,11.12,,,84.52,,4.36,,
Sundaram Multi Asset Allocation Fund Reg (G),Sundaram Mutual Fund,2925,25-01-2024,0,1.14,1.21,-0.59,7.97,9.05,19.95,,,,,,,,,16.28,0,Hybrid: Multi-Asset,13.1474,,,,,,,Rohit Seksaria,3.38,2.82,6.06,100,100,49.57,7.54,2.84,3.65,23.92,"For units in excess of 30% of the investment, 1% will be charged for redemption within 365 days",59.95,17.62,22.43,0,0,,1.84,14.32,,,,,3.29,,
Sundaram Multi Cap Fund Reg (G),Sundaram Mutual Fund,2928,25-10-2000,0.75,1.27,0.05,0.68,4.86,6.71,9.65,17.92,17.73,20.88,16.33,15.48,13.74,13.06,,15.77,2,Equity: Multi Cap,394.9099,-0.31,0.89,17.15,13.24,0.82,1.16,Ratish Varier,,,,0,0,40.99,27.97,28.15,3.69,25.75,"For units in excess of 25% of the investment, 1% will be charged for redemption within 365 days",97.11,2.89,0,0,0,,1.98,,,,,,2.89,,
Sundaram Multi-Factor Fund (G),Sundaram Mutual Fund,956,22-07-2025,0.36,1.17,2,2.58,4.8,,,,,,,,,,,13.88,0,Equity: Thematic,10.5038,,,,,,,Bharath S.,,,,100,100,49.71,47.26,0,2.92,19.06,1% for redemption within 365 days,96.97,3.03,0,0,0,,2.13,,,,,,3.03,,
Sundaram Nifty 100 Equal Weight Fund Reg (G),Sundaram Mutual Fund,131,27-07-1999,0.45,1.41,0.73,1.17,5.8,5.76,9.1,19.27,17.28,19.31,14.67,12.84,10.42,11.85,12.52,11.52,4,Equity: Index,181.0553,1.09,1.13,17.05,14.32,0.75,1.18,Ashish Aggarwal,,,,0,0,94.16,4.04,1.42,3.53,22.83,0,99.63,0.37,0,0,0,,1.08,,,,,,0.37,,
Sundaram Overnight Fund (G),Sundaram Mutual Fund,567,20-03-2019,0.01,0.1,0.21,0.43,1.32,2.67,5.88,6.24,6.33,5.24,,,,,,5.11,3,Debt: Overnight,1394.9697,0.15,0.15,6.16,0.14,-0.76,-1.01,Dwijendra Srivastava,,,5.53,0,1000,0,0,0,0,0,0,0,100,0,0,0,,0.16,3.52,,,,,96.48,,
Sundaram Services Fund (G),Sundaram Mutual Fund,4674,21-09-2018,0.63,1.45,0.91,1.44,5.62,6.32,14.35,18.63,18.31,22.69,20,,,,,19.55,0,Equity: Thematic,36.3369,2.73,0.88,17.49,12.46,0.9,1.5,Rohit Seksaria,,,,0,100,58.57,9.05,26.9,3.3,24.35,"For units in excess of 25% of the investment, 1% will be charged for redemption within 365 days",93.55,5.48,0,0.97,0,,1.87,,,,,1.09,4.39,,
Sundaram Short Duration Fund Reg (G),Sundaram Mutual Fund,194,04-09-2002,0.04,0.07,0.29,0.39,1.51,2.62,7.77,7.83,7.46,5.77,5.39,5.84,6.87,7.09,,6.93,3,Debt: Short Duration,45.3316,5.68,2.72,7.27,1.01,0.99,1.75,Dwijendra Srivastava,3.42,2.81,6.75,0,0,0,0,0,0,0,0,0,100,0,0,0,,0.89,35.39,,17.33,41.96,,5.32,,
Sundaram Small Cap Fund Reg (G),Sundaram Mutual Fund,3496,15-02-2005,0.78,1.32,0.37,2.16,6.47,7.37,7.46,15.17,21.47,26.27,19.32,14.29,14.13,16.22,,17.15,3,Equity: Small Cap,267.6728,1.3,0.8,20.23,15.71,0.89,1.21,Rohit Seksaria,,,,0,100,7.85,4.59,81.55,3.31,28.56,"For units in excess of 25% of the investment, 1% will be charged for redemption within 365 days",93.99,6.01,0,0,0,,1.93,,,,,0.59,5.42,16.811,42.9539
Sundaram Ultra Short Duration Fund Reg (G),Sundaram Mutual Fund,2237,28-12-2007,0.04,0.09,0.24,0.4,1.26,2.69,6.15,6.25,6.19,4.9,5.11,5.1,6.36,,,5.78,1,Debt: Ultra Short Duration,2739.0272,0.86,0.63,6.04,0.25,-0.89,-1.83,Dwijendra Srivastava,0.52,0.51,6.3,0,0,0,0,0,0,0,0,0,100,0,0,0,,1.48,10.29,,5.37,81.07,,3.27,,
Sundaram Value Fund Reg (G),Sundaram Mutual Fund,1481,22-11-1999,0.31,1.68,0.84,1.77,3.16,4.98,9.34,13.83,13.23,17.02,13.29,12.14,10.85,13.51,13.71,12.75,0,Equity: ELSS,226.865,-1.59,0.84,12.79,11.37,0.57,0.89,Bharath S.,,,,0,250,66.73,11.41,17.43,3.09,21.44,1% for redemption within 365 days,95.57,4.43,0,0,0,,2.26,,,,,,4.43,13.488,41.7344
Tata Aggressive Hybrid Fund Reg (G),Tata Mutual Fund,4156,08-10-1995,0.31,0.92,0.67,1.43,4.96,4.12,6.22,13.23,11.47,14.54,12.17,10.5,11.58,13.72,14.75,14.66,2,Hybrid: Aggressive,449.5038,-1.78,0.88,11.63,9.8,0.55,0.81,Satish Chandra Mishra,5.22,3.6,7.23,1000,100,52.17,9.2,13.2,3.5,26.56,0.5% for redemption within 30 days,74.57,25.43,0,0,0,,1.92,11.31,0.85,2.44,4.71,1.31,4.81,9.2395,44.7903
Tata Arbitrage Fund (G),Tata Mutual Fund,20107,18-12-2018,0.03,0.15,0.3,0.39,1.27,2.88,6.33,6.92,6.99,5.67,,,,,,5.66,4,Hybrid: Arbitrage,14.6592,0.8,0.18,6.76,0.37,1.31,2.11,Sailesh Jain,0.52,0.51,6.5,0,150,0,0,0,2.65,20.35,0.25% for redemption within 30 days,0,100,0,0,0,,1.09,,,3.31,12.55,10.2,0.7,,
Tata Balanced Advantage Fund (G),Tata Mutual Fund,9906,28-01-2019,0.3,0.69,0.53,1.09,3.39,3.64,6.34,11.16,10.94,12.03,,,,,,11.4,3,Hybrid: Balanced Advantage,20.9737,-0.2,0.67,10.63,6.55,0.67,1.01,Rahul Singh,7.25,3.9,6.89,0,100,40.49,9.97,5.3,3.66,26.96,0.5% for redemption within 30 days,55.75,41.74,0,0,2.51,,1.71,19.43,0.66,3.46,8.65,0.96,8.58,,
Tata Banking and Financial Services Fund Reg (G),Tata Mutual Fund,3125,28-12-2015,0.92,1.84,2.18,2.7,7.76,7.5,18.99,17.74,17.43,16.89,15.84,,,,,16.51,3,Equity: Sectoral,45.3577,5.24,0.9,16.84,12.79,0.83,2.16,Kapil Malhotra,,,,1000,100,57.45,15.87,23.18,2.47,21.26,0.25% for redemption within 30 days,96.5,3.5,0,0,0,,1.89,,,,,,3.5,,
